Location,Location,Climate
Canberra,Canberra,Cool temperate   
Sydney,Sydney,Warm temperate   
Perth,Perth,Warm temperate   
Darwin,Darwin,"High humidity summer, warm winter"
Hobart,Hobart,Cool temperate   
Brisbane,Brisbane,"Warm humid summer, mild winter"
Adelaide,Adelaide,Warm temperate   
Bendigo,Bendigo,Cool temperate   
Townsville,Townsville,"High humidity summer, warm winter"
AliceSprings,AliceSprings,"Hot dry summer, warm winter"
MountGambier,MountGambier,Mild temperate   
Launceston,Launceston,Cool temperate   
Ballarat,Ballarat,Cool temperate   
Albany,Albany,Mild temperate   
Albury,Albury,"Hot dry summer, cool winter"
PerthAirport,PerthAirport,Warm temperate   
MelbourneAirport,MelbourneAirport,Mild temperate   
Mildura,Mildura,"Hot dry summer, cool winter"
SydneyAirport,SydneyAirport,Warm temperate   
Nuriootpa,Nuriootpa,Warm temperate   
Sale,Sale,Mild temperate   
Watsonia,Watsonia,"Hot dry summer, cool winter"
Tuggeranong,Tuggeranong,Cool temperate   
Portland,Portland,Mild temperate   
Woomera,Woomera,Warm temperate   
Cairns,Cairns,"High humidity summer, warm winter"
Cobar,Cobar,"Hot dry summer, cool winter"
Wollongong,Wollongong,Warm temperate   
GoldCoast,GoldCoast,Cool temperate   
WaggaWagga,WaggaWagga,"Hot dry summer, cool winter"
NorfolkIsland,NorfolkIsland,Warm temperate   
Penrith,Penrith,Warm temperate   
SalmonGums,SalmonGums,"Hot dry summer, cool winter"
Newcastle,Newcastle,Warm temperate   
CoffsHarbour,CoffsHarbour,"Warm humid summer, mild winter"
Witchcliffe,Witchcliffe,Warm temperate   
Richmond,Richmond,Mild temperate   
Dartmoor,Dartmoor,Mild temperate   
NorahHead,NorahHead,Cool temperate   
BadgerysCreek,BadgerysCreek,Warm temperate   
MountGinini,MountGinini,Cool temperate   
Moree,Moree,"Hot dry summer, warm winter"
Walpole,Walpole,Mild temperate   
PearceRAAF,PearceRAAF,Warm temperate   
Williamtown,Williamtown,Warm temperate   
Melbourne,Melbourne,Mild temperate   
Nhil,Nhil,Mild temperate   
Katherine,Katherine,"High humidity summer, warm winter"
Uluru,Uluru,"Hot dry summer, warm winter"
